LABEL,ID,TRACK_ID,QUALITY,POSITION_X,POSITION_Y,POSITION_Z,POSITION_T,FRAME,RADIUS,VISIBILITY,MANUAL_SPOT_COLOR,MEAN_INTENSITY_CH1,MEDIAN_INTENSITY_CH1,MIN_INTENSITY_CH1,MAX_INTENSITY_CH1,TOTAL_INTENSITY_CH1,STD_INTENSITY_CH1,CONTRAST_CH1,SNR_CH1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,Radius,Visibility,Manual spot color,Mean intensity ch1,Median intensity ch1,Min intensity ch1,Max intensity ch1,Sum intensity ch1,Std intensity ch1,Contrast ch1,Signal/Noise ratio ch1
Label,Spot ID,Track ID,Quality,X,Y,Z,T,Frame,R,Visibility,Spot color,Mean ch1,Median ch1,Min ch1,Max ch1,Sum ch1,Std ch1,Ctrst ch1,SNR ch1
,,,(quality),(micron),(micron),(micron),(sec),,(micron),,,(counts),(counts),(counts),(counts),(counts),(counts),,
ID109286,109286,7,7.613635063171387,14.841250244127812,13.012980286517864,0.0,29.99366855621338,6,0.65,1,,169.64341085271317,144.0,114.0,382.0,21884.0,61.60735021712258,0.1827658020982189,0.8510021147805661
ID109481,109481,7,8.332246780395508,15.056340827376042,13.12052557814198,0.0,124.97361898422241,25,0.65,1,,173.14728682170542,142.0,114.0,371.0,22336.0,65.30291206839404,0.19574901039283296,0.8681058503764966
ID109418,109418,7,7.105229377746582,15.916703160368957,12.47525382839729,0.0,79.98311614990234,16,0.65,1,,175.52713178294573,153.0,114.0,386.0,22643.0,62.5068843107726,0.14595926632380268,0.7153340386221373
ID109294,109294,7,6.7545270919799805,15.27143141062427,13.12052557814198,0.0,4.9989447593688965,1,0.65,1,,165.11627906976744,139.0,113.0,339.0,21300.0,56.44696458664993,0.1485423265769278,0.7566281816728805
ID109550,109550,7,11.683460235595703,14.841250244127812,13.443161453014323,0.0,164.96517705917358,33,0.65,1,,198.68992248062017,156.0,114.0,497.0,25631.0,95.61877418046727,0.2398499071423789,0.8039575258916206
ID109361,109361,7,6.616849422454834,16.561974910113644,12.47525382839729,0.0,59.98733711242676,12,0.65,1,,178.75968992248062,163.0,120.0,327.0,23060.0,47.50654152222723,0.1522341167244086,0.9942999898270285
ID109427,109427,7,9.048689842224121,15.163886119000155,13.12052557814198,0.0,104.97783994674683,21,0.65,1,,176.7906976744186,143.0,112.0,419.0,22806.0,75.70932018444424,0.20389604892320792,0.7909697595343843
ID109490,109490,7,11.756704330444336,14.841250244127812,13.443161453014323,0.0,119.97467422485352,24,0.65,1,,195.58139534883722,149.0,115.0,486.0,25230.0,94.62414940786941,0.24710817268064206,0.8191030275965151
ID109557,109557,7,9.464913368225098,15.056340827376042,13.335616161390208,0.0,169.96412181854248,34,0.65,1,,183.6201550387597,146.0,113.0,463.0,23687.0,82.73028407482217,0.18860090786123324,0.7043581614048241
ID109304,109304,7,6.735799312591553,14.733704952503697,13.443161453014323,0.0,14.99683427810669,3,0.65,1,,163.06201550387595,140.0,114.0,317.0,21035.0,50.880950502432704,0.16648685719342357,0.9148032337729618
